route,balancing,dataset,scaler,model,TP,TN,FP,FN,P,N,Total,Error,Exactitud,TP_Rate,FP_Rate,Precision,Recall,Sensibilidad,Especificidad,F1_Score,Accuracy_sklearn,cv_best_score
fs,smote,derby-10.5.1.1,standard,naive_bayes_gaussian,25,432,32,52,77,464,541,0.15526802218114602,0.844731977818854,0.3246753246753247,0.06896551724137931,0.43859649122807015,0.3246753246753247,0.3246753246753247,0.9310344827586207,0.373134328358209,0.844731977818854,0.37252803261977574
fs,smote,derby-10.5.1.1,standard,svm,72,140,324,5,77,464,541,0.6081330868761553,0.39186691312384475,0.935064935064935,0.6982758620689655,0.18181818181818182,0.935064935064935,0.935064935064935,0.3017241379310345,0.3044397463002114,0.39186691312384475,0.9298419979612641
nofs,smote,derby-10.5.1.1,standard,decision_tree,42,383,81,35,77,464,541,0.2144177449168207,0.7855822550831792,0.5454545454545454,0.17456896551724138,0.34146341463414637,0.5454545454545454,0.5454545454545454,0.8254310344827587,0.42,0.7855822550831792,0.8585881753312947
nofs,smote,derby-10.5.1.1,standard,naive_bayes_gaussian,34,421,43,43,77,464,541,0.1589648798521257,0.8410351201478743,0.44155844155844154,0.09267241379310345,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.9073275862068966,0.44155844155844154,0.8410351201478743,0.44836901121304795
nofs,smote,derby-10.5.1.1,standard,svm,62,273,191,15,77,464,541,0.3807763401109057,0.6192236598890942,0.8051948051948052,0.41163793103448276,0.2450592885375494,0.8051948051948052,0.8051948051948052,0.5883620689655172,0.37575757575757573,0.6192236598890942,0.9389313625552159
fs,unbalanced,derby-10.5.1.1,robust,decision_tree,23,407,57,54,77,464,541,0.20517560073937152,0.7948243992606284,0.2987012987012987,0.12284482758620689,0.2875,0.2987012987012987,0.2987012987012987,0.8771551724137931,0.2929936305732484,0.7948243992606284,0.38268817204301075
fs,unbalanced,derby-10.5.1.1,robust,naive_bayes_gaussian,26,434,30,51,77,464,541,0.14972273567467653,0.8502772643253235,0.33766233766233766,0.06465517241379311,0.4642857142857143,0.33766233766233766,0.33766233766233766,0.9353448275862069,0.39097744360902253,0.8502772643253235,0.3620430107526882
fs,unbalanced,derby-10.5.1.1,robust,svm,44,311,153,33,77,464,541,0.3438077634011091,0.6561922365988909,0.5714285714285714,0.3297413793103448,0.2233502538071066,0.5714285714285714,0.5714285714285714,0.6702586206896551,0.32116788321167883,0.6561922365988909,0.6541935483870968
nofs,unbalanced,derby-10.5.1.1,robust,decision_tree,31,425,39,46,77,464,541,0.15711645101663585,0.8428835489833642,0.4025974025974026,0.08405172413793104,0.44285714285714284,0.4025974025974026,0.4025974025974026,0.915948275862069,0.4217687074829932,0.8428835489833642,0.40881720430107527
nofs,unbalanced,derby-10.5.1.1,robust,naive_bayes_gaussian,3,457,7,74,77,464,541,0.14972273567467653,0.8502772643253235,0.03896103896103896,0.015086206896551725,0.3,0.03896103896103896,0.03896103896103896,0.9849137931034483,0.06896551724137931,0.8502772643253235,0.01956989247311828
